CPO	REF	LAT NAP	LON NAP	LAT OSM	LON OSM	DIST (m)	LOCATION
EDP	VLP-00005	41.6102940	-7.3083040	41.6092025	-7.3104019	212.49	surface
EDP	ALT-00008	39.2241550	-7.6871510	39.2222602	-7.6868503	212.28	surface
EDP	LMG-00021	41.1008260	-7.8125500	41.1008041	-7.8100576	208.86	surface
EDP	ASL-00006	38.3723560	-8.5110980	38.3725835	-8.5134263	204.54	surface
EDP	MOBI-SXL-00002	38.6420970	-9.0917680	38.6402720	-9.0915008	204.25	surface
EDP	MOBI-SXL-00001	38.6420970	-9.0917680	38.6402721	-9.0915293	203.98	surface
ATL	SXL-00051	38.6345600	-9.1425680	38.6327599	-9.1425804	200.16	surface
EVC	BRG-00133	41.5541460	-8.3793690	41.5542816	-8.3770537	193.25	surface
EVC	BRG-00134	41.5541460	-8.3793690	41.5542386	-8.3770521	193.06	surface
SEG	VFC-00007	37.7207760	-25.4227580	37.7190638	-25.4224147	192.77	surface
MAK	LSB-01049	38.7371100	-9.1478200	38.7358257	-9.1492346	188.28	underground
MAK	LSB-01048	38.7371100	-9.1478200	38.7358695	-9.1492446	185.19	underground
MAK	LSB-00242	38.7371100	-9.1478200	38.7359035	-9.1492521	182.83	underground
MAK	LSB-00243	38.7371100	-9.1478200	38.7359255	-9.1492574	181.36	underground
MAK	LSB-00244	38.7371100	-9.1478200	38.7359476	-9.1492627	179.90	underground
EDP	CSC-00050	38.6804850	-9.3254610	38.6793137	-9.3268841	179.51	underground
EDP	FAR-00023	37.0956100	-7.8966860	37.0972121	-7.8964633	179.24	underground
MAK	LSB-00319	38.7371100	-9.1478200	38.7359809	-9.1492703	177.73	underground
EDP	LGA-00039	37.1362950	-8.5204800	37.1378876	-8.5204111	177.19	underground
EVC	PRT-00159	41.1559400	-8.6297410	41.1562603	-8.6276771	176.42	underground
EDP	SNT-00173	38.7821270	-9.3575430	38.7820213	-9.3555127	176.38	surface
MAK	LSB-00778	38.7371100	-9.1478200	38.7360137	-9.1492793	175.73	underground
EDP	SNT-00174	38.7821270	-9.3575430	38.7819775	-9.3555267	175.56	surface
MAK	LSB-00779	38.7371100	-9.1478200	38.7360357	-9.1492846	174.38	underground
MAK	LSB-00780	38.7371100	-9.1478200	38.7360578	-9.1492899	173.04	underground
EDP	CSC-00052	38.6804850	-9.3254610	38.6793396	-9.3267891	171.79	underground
MAK	LSB-00781	38.7371100	-9.1478200	38.7360798	-9.1492951	171.73	underground
EDP	LGS-00035	37.1018900	-8.7055420	37.1031195	-8.7067123	171.65	surface
MAK	LSB-00782	38.7371100	-9.1478200	38.7361019	-9.1493004	170.45	underground
EVP	PRD-00011	41.1835100	-8.4459280	41.1820037	-8.4457878	167.90	surface
MAK	LSB-00192	38.7426570	-9.1696420	38.7426742	-9.1677152	167.12	underground
EDP	GMR-00155	41.4374120	-8.3118150	41.4367663	-8.3136126	166.16	surface
EML	LSB-00944	38.7610930	-9.1852560	38.7612348	-9.1871550	165.41	surface
EVP	PRD-00012	41.1835100	-8.4459280	41.1820286	-8.4458356	164.91	surface
EML	LSB-00945	38.7610930	-9.1852560	38.7612195	-9.1871013	160.62	surface
EVA	AVR-00096	40.6277800	-8.6454270	40.6267446	-8.6441602	157.11	underground
EDP	ALM-00188	38.6385420	-9.2304520	38.6394460	-9.2291236	153.02	surface
MAK	LRA-00027	39.7487340	-8.8070310	39.7490231	-8.8053075	150.81	underground
EDP	PSR-90001	39.2531700	-8.0076810	39.2523844	-8.0091029	150.40	surface
EDP	PTM-00060	37.1193500	-8.5456310	37.1202734	-8.5444037	149.61	surface
MAK	LRA-00026	39.7487340	-8.8070310	39.7490192	-8.8053368	148.27	underground
EDP	LRS-00070	38.8045960	-9.0994470	38.8058266	-9.1000861	147.62	surface
EDP	PRT-00197	41.1522500	-8.5993100	41.1509392	-8.5991990	146.05	underground
MAK	LRA-00025	39.7487340	-8.8070310	39.7490158	-8.8053641	145.91	underground
EDP	LSB-00876	38.7124060	-9.1545260	38.7135463	-9.1537718	142.69	underground
EDP	TNV-00014	39.4682120	-8.5366000	39.4671907	-8.5356163	141.52	surface
EDP	LRS-00069	38.8046950	-9.0995070	38.8058543	-9.1001525	140.52	surface
NEU	LSB-00440	38.7591800	-9.1150320	38.7587184	-9.1135293	140.04	surface
EDP	CNT-00028	40.3399800	-8.5822710	40.3388157	-8.5816487	139.80	surface
CGG	VCT-00018	41.6935000	-8.8465470	41.6944764	-8.8475926	139.01	surface
EDP	TNV-00015	39.4682120	-8.5366000	39.4671947	-8.5356735	138.28	surface
FAC	SCR-00004	32.6923000	-16.7749180	32.6934896	-16.7744958	138.05	underground
EDP	TMR-00032	39.6095430	-8.3954260	39.6106869	-8.3948037	137.92	surface
