Station ID;OPC;EVSE ID;Connector Type;Charging Mode;Voltage (V);Max Current (A);Calculated Power (W);Claimed Power (W);Power Difference (W)
HRZ-ODV-00018;HRZ;PT*HRZ*E*ODV*00018*02;iec62196T2COMBO;mode4DC;500.0;300.0;150000.0;200000.0;-50000.0
HRZ-STC-00009;HRZ;PT*HRZ*E*STC*00009*03;iec62196T2COMBO;mode4DC;500.0;200.0;100000.0;150000.0;-50000.0
HRZ-STC-00009;HRZ;PT*HRZ*E*STC*00009*04;iec62196T2COMBO;mode4DC;500.0;200.0;100000.0;150000.0;-50000.0
HRZ-VLG-00024;HRZ;PT*HRZ*E*VLG*00024*03;iec62196T2COMBO;mode4DC;500.0;200.0;100000.0;150000.0;-50000.0
HRZ-VLG-00024;HRZ;PT*HRZ*E*VLG*00024*04;iec62196T2COMBO;mode4DC;500.0;200.0;100000.0;150000.0;-50000.0
HRZ-VLG-00024;HRZ;PT*HRZ*E*VLG*00024*05;iec62196T2COMBO;mode4DC;500.0;200.0;100000.0;150000.0;-50000.0
HRZ-VRL-00015;HRZ;PT*HRZ*E*VRL*00015*01;iec62196T2COMBO;mode4DC;500.0;200.0;100000.0;150000.0;-50000.0
HRZ-VRL-00015;HRZ;PT*HRZ*E*VRL*00015*02;iec62196T2COMBO;mode4DC;500.0;200.0;100000.0;150000.0;-50000.0
MOO-EVR-00022;MOO;PT*MOO*E*EVR*00022*01;iec62196T2COMBO;mode4DC;500.0;500.0;250000.0;300000.0;-50000.0
MOO-EVR-00022;MOO;PT*MOO*E*EVR*00022*02;iec62196T2COMBO;mode4DC;500.0;500.0;250000.0;300000.0;-50000.0
REP-LLE-00253;REP;PT*REP*E17566*1;iec62196T2COMBO;mode4DC;400.0;250.0;100000.0;150000.0;-50000.0
GLP-VFX-00072;GLP;PT*GLP*EVFX*00072*01;iec62196T2COMBO;mode4DC;500.0;90.0;45000.0;90000.0;-45000.0
LUZ-LGA-00047;LUZ;PT*LUZ*E*LGA*00047*01;iec62196T2COMBO;mode4DC;400.0;190.0;76000.0;120000.0;-44000.0
LUZ-LGA-00047;LUZ;PT*LUZ*E*LGA*00047*02;iec62196T2COMBO;mode4DC;400.0;190.0;76000.0;120000.0;-44000.0
PRI-SSB-00010;PRI;PT*PRI*E*SSB*00010*01;iec62196T2COMBO;mode4DC;500.0;12.0;6000.0;50000.0;-44000.0
REP-CVL-00057;REP;PT*REP*E17693*1;iec62196T2COMBO;mode4DC;400.0;200.0;80000.0;120000.0;-40000.0
REP-CVL-00057;REP;PT*REP*E17693*2;iec62196T2COMBO;mode4DC;400.0;200.0;80000.0;120000.0;-40000.0
HRZ-LRA-00075;HRZ;PT*HRZ*E*LRA*00075*04;iec62196T2COMBO;mode4DC;500.0;125.0;62500.0;100000.0;-37500.0
HRZ-LSB-00491;HRZ;PT*HRZ*E*LSB*00491*02;iec62196T2COMBO;mode4DC;500.0;125.0;62500.0;100000.0;-37500.0
VEI-EPS-00005;VEI;PT*VEI*E*EPS*00005*01;chademo;mode4DC;400.0;63.0;25200.0;60000.0;-34800.0
VEI-EPS-00005;VEI;PT*VEI*E*EPS*00005*02;iec62196T2COMBO;mode4DC;400.0;63.0;25200.0;60000.0;-34800.0
VEI-PRT-00211;VEI;PT*VEI*E*PRT*00211*01;chademo;mode4DC;400.0;63.0;25200.0;60000.0;-34800.0
